"decimalLongitude","decimalLatitude"
-72.709496,46.147728
-85.69635,44.59947
-76.60693,40.18717
-92.3818,38.942333
-88.302414,42.274323
-110.98604,32.210022
-97.169014,49.866646
-75.409645,45.544678
-85.17814,39.812836
-99.02737,48.12174
-123.05503,38.338356
-89.07104,41.489597
-85.63085,38.242527
-77.50891,42.36427
-79.430466,43.7707
-89.304794,43.290905
-79.544685,43.63264
-80.276566,25.886112
-96.61411,39.223125
-96.64728,40.827946
-77.025964,38.888245
-88.72203,43.186512
-108.48466,39.057816
-80.80821,42.642918
-105.94408,35.694
-74.96707,38.937786
-81.24051,42.72859
-102.60518,38.2162
-119.14988,38.041508
-79.90623,40.54348
-73.92569,40.871704
-96.659584,33.027737
-97.346695,26.229578
-110.775,31.528
-118.62616,34.217392
-89.81656,39.92018
-82.514,41.9554
-85.83481,41.566704
-79.39135,36.6237
-73.10325,41.17543
-106.65384,52.12505
-110.66386,45.991684
-77.3739,44.18259
-106.456985,31.851297
-81.437416,41.57005
-77.20735,38.855522
-112.186714,41.08841
-74.204796,40.521435
-73.62422,40.62337
-76.68105,39.13805
-83.09397,40.570755
-122.275345,47.7081
-79.16837,42.019367
-104.60691,50.403893
-72.33844,43.66067
-77.037476,39.057117
-118.37206,33.85363
-70.79659,42.99425
-122.62001,48.4974
-75.01697,40.282146
-77.814964,40.841087
-88.392914,44.259018
-77.461266,37.758545
-106.683,35.13
-97.92156,28.10658
-119.28483,47.24148
-75.72334,39.71585
-123.13379,44.076473
-117.92283,34.82326
-88.387856,42.83552
-81.40596,41.62848
-117.02828,46.736176
-119.3753,36.180737
-84.199326,43.64618
-119.73658,39.16389
-79.83348,40.49422
-83.1974,42.509296
-77.29738,42.938282
-75.94137,39.60011
-97.372444,32.74534
-77.123634,38.82752
-122.467705,48.749565
-89.42155,43.07787
-86.77125,40.50198
-76.99866,39.02959
-87.723015,42.08278
-102.64114,28.837456
-93.818436,41.59362
-73.52602,45.61508
-113.69127,51.03539
-75.33373,40.296352
-70.3008,43.68182
-117.39367,33.204063
-73.515274,41.31988
-73.6173,45.513115
-73.95975,42.029358
-74.80688,40.228336
-79.071785,35.911884
-111.68638,40.263866
-74.32803,40.4375
-102.3995,30.144827
-77.4368,43.262714
-77.82824,42.921185
-73.22767,44.38065
-112.06782,33.48892
-73.68631,41.05831
-85.24143,31.18848
-73.56089,45.57106
-112.51373,33.495865
-71.37843,41.82072
-111.82913,25.118141
-79.77462,39.551098
-74.1051,40.641705
-85.7786,39.810043
-73.56261,45.559658
-106.69292,31.863297
-80.28405,41.757294
-82.56775,40.738216
-109.5434,35.711296
-81.24638,44.80559
-69.72885,44.782047
-75.34797,37.91062
-73.53363,45.585575
-120.706055,56.246914
-75.15779,40.302277
-97.39918,27.791317
-89.42517,43.08644
-77.790886,21.19203
-113.50415,53.59506
-111.769585,33.234783
-100.1075,25.89528
-97.10562,28.021217
-74.8193,39.06269
-87.97232,35.968933
-80.61426,41.01862
-74.095184,40.614773
-117.77839,34.107235
-76.30893,36.89451
-96.8776,43.862843
-83.6934,42.273277
-84.39244,33.87696
-84.37998,33.623627
-120.706055,56.246914
-122.97821,37.99562
-71.11456,42.325947
-83.03271,39.940098
-117.88767,33.836018
-71.31621,42.63339
-114.01032,46.86137
-73.968956,40.660286
-92.20495,38.889496
-73.8308,40.618847
-83.40095,42.507317
-86.232254,43.076515
-73.55656,45.446407
-116.15697,43.57333
-106.64529,52.131073
-79.483055,43.74374
-70.942474,42.510265
-117.566666,47.433334
-82.794815,39.88569
-81.549034,28.37136
-95.554054,30.210663
-123.98843,41.52601
-84.25508,39.353893
-73.0847,46.085705
-71.15,42.383
-73.955894,40.79609
-86.27456,39.943394
-76.47675,42.451294
-73.95721,40.794586
-113.64909,33.7609
-120.27856,47.40758
-89.72714,43.28453
-73.88055,40.8619
-122.33877,47.69823
-80.140175,41.882046
-88.06217,41.867718
-118.34023,33.728264
-96.49532,41.43822
-79.37857,43.679787
-87.689026,42.020805
-81.5447,38.23449
-114.13777,48.176872
-73.62532,42.476856
-73.571945,41.002914
-77.10262,40.06607
-96.36962,30.664028
-87.49692,41.516457
-85.60251,42.26816
-92.29691,44.700657
-87.58134,41.7812
-93.62896,44.71863
-77.04471,38.884293
-108.36214,39.10525
-121.35334,61.86197
-73.534065,45.516094
-75.89844,40.770203
-122.94291,44.61122
-104.052956,38.962666
-64.74232,32.304073
-121.495834,43.71563
-112.69463,33.933342
-93.11234,44.945644
-70.858,42.642
-106.92018,32.490723
-80.130875,40.446167
-72.627335,42.552128
-103.60734,29.319796
-95.612816,29.974781
-73.824005,41.556625
-80.93128,36.655956
-121.807526,42.238846
-105.04842,39.57184
-122.1517,37.641933
-88.06217,41.867718
-88.29862,42.88752
-74.00847,40.70441
-90.24817,44.67164
-73.62422,40.62337
-123.085884,49.31182
-72.32306,41.581898
-84.03047,43.359634
-88.20494,39.38009
-73.07844,40.907944
-73.88595,40.898045
-122.78486,49.023163
-89.90226,38.578384
-76.74832,39.87333
-80.61802,28.100529
-76.472855,42.429337
-83.66759,41.678555
-117.15403,46.73081
-93.48233,44.698994
-72.24163,44.86804
-83.98713,43.881237
-118.32676,33.34249
-119.28043,50.709747
-74.40112,40.70805
-118.12878,33.82048
-104.78059,39.029453
-92.00535,41.00409
-86.03752,43.251102
-103.501908,25.587151
-73.71647,40.839767
-74.21034,40.06968
-122.1349,47.599953
-71.30934,42.294636
-82.66522,40.76059
-122.37576,45.541946
-70.37927,43.565716
-119.15653,34.122696
-73.59812,45.643063
-94.61692,45.00048
-88.02809,41.792915
-97.50237,28.909798
-87.63442,41.963383
-79.998091,40.441682
-73.552956,45.45463
-92.351295,38.9191
-122.86671,45.35162
-108.64286,45.776203
-83.28866,42.564938
-82.51131,41.931484
-114.17647,51.120163
-72.28403,41.787697
-77.70709,39.49312
-80.28447,42.561066
-95.519066,30.189096
-79.4704,40.2354
-75.86874,41.227463
-73.722875,45.543015
-77.2548,39.12318
-124.06923,44.42674
-94.48686,37.1516
-111.63125,36.817627
-88.47644,44.28246
-79.91773,40.46705
-89.67384,39.786594
-92.36328,30.17426
-95.01068,43.819183
-98.373085,40.883606
-83.04203,40.01463
-80.79115,42.782124
-75.63838,39.811897
-87.85067,41.160423
-103.34151,20.607063
-83.70175,42.27701
-78.009766,42.843365
-106.62388,52.11036
-105.867455,37.481514
-100.08222,37.826176
-89.85153,35.16852
-87.90597,44.99122
-119.416,49.899517
-111.930595,41.729115
-84.85271,10.353801
-87.51668,38.058475
-74.11832,40.622448
-87.88801,41.84161
-79.38531,43.641277
-74.17865,40.953457
-86.91354,40.4514
-83.547035,38.11771
-81.57229,41.140205
-83.72211,42.28131
-71.1088,42.4015
-86.192055,39.584087
-118.198522,34.040876
-92.19252,30.153791
-85.57945,42.859913
-113.5604,53.50352
-77.22904,38.897858
-73.777954,42.642113
-92.4504,38.8636
-82.80327,42.57963
-83.4644,31.9612
-91.53125,45.3125
-97.29732,31.530468
-80.953354,44.57445
-76.34865,39.505993
-74.0432,40.083023
-71.121,42.2531
-74.86073,40.114727
-80.27984,25.78219
-79.52465,8.978649
-93.61191,33.684177
-90.527855,41.70926
-122.275444,47.705086
-67.08976,18.029173
-83.10952,40.096542
-99.105736,19.49996
-71.15824,42.468086
-122.644005,49.156654
-80.51271,43.485878
-87.437904,41.562717
-69.08106,44.113
-111.04663,43.72236
-110.97509,53.408382
-121.5617,41.9461
-71.15369,46.877346
-88.29295,43.025684
-76.90535,40.29639
-71.17287,42.11287
-82.8055,41.39789
-86.81716,40.508286
-80.13155,40.269882
-77.14633,38.903214
-95.0115,30.63061
-74.69209,41.35394
-117.22812,32.750957
-75.652596,40.583866
-74.27484,40.730007
-111.84577,34.522987
-90.12878,30.428785
-68.5095,48.437588
-71.21042,48.380188
-91.829544,41.810917
-93.63963,41.570442
-83.887344,42.33191
-80.365295,43.386616
-79.051346,43.174778
-76.86738,44.46924
-74.96707,38.937786
-94.92592,39.071377
-98.36355,40.928883
-121.41789,44.13908
-79.986595,39.653416
-101.56247,37.64981
-117.22812,32.750957
-78.68827,43.1662
-88.54346,43.443943
-111.81604,40.63252
-76.479,42.460445
-82.84252,34.683502
-69.438576,44.500114
-89.33782,40.68871
-72.65555,42.32219
-84.5834,42.84463
-116.157104,43.583263
-86.26185,39.863033
-117.69207,35.63672
-83.10259,42.26124
-87.62915,41.343494
-111.919136,40.95514
-98.97806,18.948208
-89.5895,44.3214
-97.506966,28.982578
-84.45435,39.13843
-85.711494,38.21448
-76.6174,39.28538
-86.77125,40.50198
-77.1196,38.99543
-83.63651,41.72669
-77.90899,33.99284
-97.50399,29.853033
-123.277016,44.578854
-87.87701,41.709156
-81.57589,41.139492
-90.09269,30.00138
-70.5907,43.23734
-75.32023,39.93071
-89.07104,41.489597
-99.82882,28.778606
-76.65837,39.36943
-105.11418,39.997047
-82.39586,40.379444
-91.16135,14.738429
-93.60228,29.757612
-117.26449,32.970802
-83.00849,40.077267
-71.12687,42.341984
-72.53234,42.991653
-80.322627,37.139729
-91.8243,30.124332
-87.65017,44.092793
-79.53747,8.963096
-73.103836,41.197388
-70.91899,48.44867
-79.558014,43.564808
-70.75801,41.720417
-99.4199,36.438034
-116.3565,43.5145
-74.14018,40.6324
-83.70039,42.309227
-73.54643,40.58697
-87.43795,40.76754
-92.63161,39.610836
-89.46271,43.052048
-121.49587,43.715656
-81.80302,26.183477
-80.8408,35.199482
-78.81198,33.74444
-95.84533,46.81716
-111.73395,33.36145
-77.28604,38.835197
-94.54074,39.40296
-84.42203,42.700527
-124.19827,41.94382
-72.57722,42.59494
-85.802765,39.77225
-86.9582,36.706112
-80.18941,41.096943
-112.043724,40.73971
-76.81203,39.89189
-87.85299,41.638397
-77.140785,38.97566
-82.30949,43.02773
-80.3984,42.582924
-94.1185,36.33198
-123.50075,48.448788
-118.321655,46.058475
-71.13686,42.38083
-114.081245,46.868427
-96.81146,47.26437
-86.81252,36.15018
-100.91265,46.811268
-104.879074,39.756
-96.70195,40.78325
-99.80491,20.68738
-87.93569,43.13531
-72.91831,45.693985
-74.3415,41.0037
-83.69264,42.25184
-84.492805,38.948357
-89.42286,43.056103
-98.26314,30.578856
-97.50178,49.59123
-97.68412,27.319696
-104.77461,39.637318
-87.956856,40.109905
-76.63984,40.257236
-87.83504,41.16445
-86.19302,12.027055
-76.81203,39.89189
-122.87697,45.667896
-86.65397,30.41719
-74.097145,42.89662
-73.32328,40.696995
-71.330345,46.790672
-100.96007,20.504951
-70.67727,42.08811
-89.22717,43.546
-77.05055,38.929367
-94.62147,39.23116
-92.09376,36.04317
-123.3794,48.51262
-112.530075,45.990223
-123.37403,48.414577
-92.35768,38.96221
-90.516335,38.5911
-74.018555,40.704914
-85.60183,42.938812
-95.957932,29.784753
-78.950584,38.38725
-72.67905,41.909336
-77.43449,39.47328
-102.61856,37.98718
-79.496796,39.868813
-79.98361,39.89032
-84.49006,39.094486
-106.6134,35.34764
-121.274826,36.298843
-71.2845,42.5733
-60.082558,46.244793
-96.736786,43.763065
-89.50053,43.02499
-71.57963,43.27743
-72.89062,41.306755
-75.50894,44.714275
-76.00157,44.57364
-70.98352,42.387268
-85.59576,42.94639
-122.326355,47.784584
-74.04604,41.12216
-89.35015,43.21861
-96.77776,48.19252
-82.80327,42.57963
-76.11769,43.24227
-88.13138,44.533535
-88.25043,45.925365
-93.339165,45.13374
-74.042786,40.71103
-76.646805,39.32351
-99.78866,29.187357
-121.831856,38.02132
-76.402,39.016
-89.95224,38.809815
-123.85038,49.113926
-69.996574,41.29975
-90.492325,43.15135
-73.49812,40.648136
-97.61979,39.83006
-79.26743,40.660908
-74.5125,40.5872
-86.13852,41.648106
-77.04935,38.955494
-127.016655,50.623768
-93.14578,30.108084
-123.143265,49.302967
-77.16339,38.95365
-73.62422,40.62337
-70.67727,42.08811
-79.52229,8.999095
-118.38627,37.281292
-90.547745,38.59854
-84.7119,43.623363
-75.67387,45.43047
-106.82306,39.187904
-99.75611,36.019924
-83.67161,41.556847
-52.82207,47.523598
-94.10573,36.08977
-122.23291,37.798817
-120.74526,45.694454
-124.14082,43.066177
-72.58684,42.3733
-105.58228,36.902374
-91.57122,35.274475
-84.64541,35.184086
-103.40353,39.802887
-111.97392,34.722496
-70.539566,41.9265
-106.13087,37.487667
-111.94683,46.65429
-79.67919,43.617023
-97.75659,35.496357
-71.0991,42.3029
-80.0985,43.20141
-104.39981,33.45121
-105.963135,32.86136
-115.77804,40.818325
-76.26078,38.929375
-123.41481,48.580494
-77.4368,43.262714
-97.814835,26.480272
-76.94323,38.982464
-111.51875,32.989468
-79.58961,43.613346
-69.1,47.58333
-89.42911,43.247845
-124.09458,40.872375
-87.63442,41.963383
-123.09704,49.243206
-123.161545,44.057842
-70.72947,41.910645
-71.125786,42.150448
-73.96972,40.777966
-76.970146,42.08692
